KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-29,5.0599,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-05-30,5.0612,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-02,5.0547,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-03,5.0588,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-04,5.053,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-05,5.0505,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-06,5.0452,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-09,5.0405,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-10,5.0353,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
EXR.D.RON.EUR.SP00.A,D,RON,EUR,SP00,A,2025-06-11,5.0273,A,F,,,P1D,,A,,,,,,,99Q1=100,"Before 1st July 2005 old Romanian leu (ROL) divided by 10,000 is used",,4,,4F0,,Romanian leu/Euro ECB reference exchange rate,"ECB reference exchange rate, Romanian leu/Euro, 2.15 pm (C.E.T.)",RON,0
